Names;Diatoms;Flagellates;Bacteria;HM plankton;Small copepods;Medium copepods;Large copepods;Other lg zooplankton;Sm macrobenthos;Lg suspension feeder;Echinoderm;Mollusc;Prawn & shrimp;Large crustacean;Cuttlefish;Other cephalopod;Flatfish;Gurnard;Other benthic carnivorous fish;Lizardfish;Red tjor-tjor;Pinky;Other benthopelagic fish;Sm pelagic fish;Lg pelagic fish;Skates and rays;Sm benthic shark;Large sharks;Cetaceans;Susp POC;Sed POC;DOC;DIC;IsAlive;Biomass;Export;Respiration;TrophicLevel
Diatoms;0.0;0.0;1.677;0.264;2.89;1.8;0.894;0.0307;0.0;0.0;0.047;0.0;0.178;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;251.0;0.0;0.0;0.0;0.0;0.0;41.1;0.0;0.0;0.0;1.0;0.5011;0.0;74.649;1.9999999999999958
Flagellates;0.0;0.0;1.677;0.264;2.06;1.23;0.638;0.0219;0.0;0.0;0.0335;0.0;0.178;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;188.0;0.0;0.0;0.0;0.0;0.0;22.1;0.0;0.0;0.0;1.0;0.3424;0.0;53.438;1.9999999999999991
Bacteria;0.0;0.0;0.0;0.0;0.186;0.791;0.41;0.0205;0.0;58.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.0;0.0;0.0;0.0;1.0;0.52;0.0;27.56;2.0299989266931435
HM plankton;0.0;0.0;0.0;0.0;0.0012;0.0048;0.0025;0.0005;7.76;0.0;0.0008;0.0007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.93;0.0;0.0;0.0;1.0;0.0818;0.0;5.892;2.0299863698318914
Small copepods;0.0;0.0;0.0;0.0;0.124;0.878;0.207;0.0579;0.0;0.0;0.0;0.0;0.119;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0542;0.0;0.0;0.0;0.0;0.0;1.3;0.0;0.0;0.0;1.0;0.0375;0.0;3.45;2.8683663826433916
Medium copepods;0.0;0.0;0.0;0.0;0.0;0.0799;0.331;0.0352;0.0;0.0;0.0;0.0;0.119;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.08;0.0;0.0;0.0;0.0;0.0;1.88;0.0;0.0;0.0;1.0;0.0484;0.0;4.4528;2.705616910683112
Large copepods;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0224;0.0;0.0;0.0;0.0;0.119;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.542;0.0;0.0;0.0;0.0;0.0;1.15;0.0;0.0;0.0;1.0;0.0251;0.0;2.3092;2.7020363462913832
Other lg zooplankton;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0063;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0188;0.0;0.0;0.0156;0.0;0.0;0.152;0.0097;0.0;0.0;0.0;0.0;0.132;0.0;0.0;0.0;1.0;0.0263;0.0;0.192;2.552632853304088
Sm macrobenthos;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5220.0;0.0;1.21;1.9;0.714;46.8;1100.0;119.0;228.0;8.87;197.0;30.8;22.7;7.83;1840.0;54.7;0.538;10.2;9.61;0.0;0.0;0.0;21300.0;0.0;0.0;1.0;1482.3;0.0;73877.0;2.0529214620741474
Lg suspension feeder;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.416;0.999;0.0;15.2;56.0;0.0;0.0;0.0;8.03;1.41;0.31;6.83;0.0;0.0;0.0;14.3;0.0;0.0;0.0;0.0;49.0;0.0;0.0;1.0;435.9;0.0;65.384;2.278071335581071
